001  00001 |Loss: 3.101 | Acc: 31.250% 
001  00002 |Loss: 2.911 | Acc: 34.375% 
001  00003 |Loss: 2.555 | Acc: 34.375% 
001  00004 |Loss: 2.402 | Acc: 35.938% 
001  00005 |Loss: 2.399 | Acc: 35.333% 
002  00006 |Loss: 2.092 | Acc: 25.000% 
002  00007 |Loss: 1.895 | Acc: 29.688% 
002  00008 |Loss: 1.822 | Acc: 29.167% 
002  00009 |Loss: 1.786 | Acc: 31.250% 
002  00010 |Loss: 1.754 | Acc: 32.667% 
003  00011 |Loss: 1.719 | Acc: 34.375% 
003  00012 |Loss: 1.619 | Acc: 37.500% 
003  00013 |Loss: 1.596 | Acc: 37.500% 
003  00014 |Loss: 1.566 | Acc: 39.062% 
003  00015 |Loss: 1.601 | Acc: 36.000% 
004  00016 |Loss: 1.549 | Acc: 43.750% 
004  00017 |Loss: 1.605 | Acc: 35.938% 
004  00018 |Loss: 1.596 | Acc: 35.417% 
004  00019 |Loss: 1.597 | Acc: 36.719% 
004  00020 |Loss: 1.559 | Acc: 38.667% 
005  00021 |Loss: 1.474 | Acc: 25.000% 
005  00022 |Loss: 1.677 | Acc: 23.438% 
005  00023 |Loss: 1.604 | Acc: 23.958% 
005  00024 |Loss: 1.622 | Acc: 28.906% 
005  00025 |Loss: 1.571 | Acc: 30.000% 
006  00026 |Loss: 1.406 | Acc: 43.750% 
006  00027 |Loss: 1.551 | Acc: 39.062% 
006  00028 |Loss: 1.562 | Acc: 36.458% 
006  00029 |Loss: 1.542 | Acc: 36.719% 
006  00030 |Loss: 1.538 | Acc: 34.667% 
007  00031 |Loss: 1.598 | Acc: 31.250% 
007  00032 |Loss: 1.625 | Acc: 37.500% 
007  00033 |Loss: 1.538 | Acc: 40.625% 
007  00034 |Loss: 1.551 | Acc: 39.844% 
007  00035 |Loss: 1.552 | Acc: 38.667% 
008  00036 |Loss: 1.640 | Acc: 25.000% 
008  00037 |Loss: 1.641 | Acc: 18.750% 
008  00038 |Loss: 1.582 | Acc: 25.000% 
008  00039 |Loss: 1.558 | Acc: 26.562% 
008  00040 |Loss: 1.568 | Acc: 26.000% 
009  00041 |Loss: 1.824 | Acc: 31.250% 
009  00042 |Loss: 1.719 | Acc: 31.250% 
009  00043 |Loss: 1.636 | Acc: 34.375% 
009  00044 |Loss: 1.593 | Acc: 33.594% 
009  00045 |Loss: 1.584 | Acc: 34.667% 
010  00046 |Loss: 1.597 | Acc: 37.500% 
010  00047 |Loss: 1.648 | Acc: 32.812% 
010  00048 |Loss: 1.628 | Acc: 30.208% 
010  00049 |Loss: 1.566 | Acc: 32.031% 
010  00050 |Loss: 1.564 | Acc: 30.667% 
011  00051 |Loss: 1.569 | Acc: 31.250% 
011  00052 |Loss: 1.542 | Acc: 31.250% 
011  00053 |Loss: 1.538 | Acc: 34.375% 
011  00054 |Loss: 1.573 | Acc: 34.375% 
011  00055 |Loss: 1.515 | Acc: 36.667% 
012  00056 |Loss: 1.489 | Acc: 18.750% 
012  00057 |Loss: 1.542 | Acc: 23.438% 
012  00058 |Loss: 1.520 | Acc: 27.083% 
012  00059 |Loss: 1.527 | Acc: 27.344% 
012  00060 |Loss: 1.574 | Acc: 28.000% 
013  00061 |Loss: 1.615 | Acc: 28.125% 
013  00062 |Loss: 1.587 | Acc: 28.125% 
013  00063 |Loss: 1.591 | Acc: 28.125% 
013  00064 |Loss: 1.573 | Acc: 33.594% 
013  00065 |Loss: 1.532 | Acc: 36.000% 
014  00066 |Loss: 1.540 | Acc: 25.000% 
014  00067 |Loss: 1.512 | Acc: 26.562% 
014  00068 |Loss: 1.512 | Acc: 29.167% 
014  00069 |Loss: 1.542 | Acc: 29.688% 
014  00070 |Loss: 1.577 | Acc: 28.667% 
015  00071 |Loss: 1.510 | Acc: 40.625% 
015  00072 |Loss: 1.493 | Acc: 37.500% 
015  00073 |Loss: 1.476 | Acc: 35.417% 
015  00074 |Loss: 1.534 | Acc: 31.250% 
015  00075 |Loss: 1.536 | Acc: 32.667% 
016  00076 |Loss: 1.388 | Acc: 50.000% 
016  00077 |Loss: 1.419 | Acc: 43.750% 
016  00078 |Loss: 1.463 | Acc: 39.583% 
016  00079 |Loss: 1.573 | Acc: 34.375% 
016  00080 |Loss: 1.534 | Acc: 34.667% 
017  00081 |Loss: 1.505 | Acc: 43.750% 
017  00082 |Loss: 1.562 | Acc: 32.812% 
017  00083 |Loss: 1.524 | Acc: 37.500% 
017  00084 |Loss: 1.510 | Acc: 38.281% 
017  00085 |Loss: 1.516 | Acc: 39.333% 
018  00086 |Loss: 1.401 | Acc: 40.625% 
018  00087 |Loss: 1.507 | Acc: 37.500% 
018  00088 |Loss: 1.555 | Acc: 33.333% 
018  00089 |Loss: 1.543 | Acc: 35.156% 
018  00090 |Loss: 1.516 | Acc: 35.333% 
019  00091 |Loss: 1.780 | Acc: 12.500% 
019  00092 |Loss: 1.742 | Acc: 28.125% 
019  00093 |Loss: 1.679 | Acc: 31.250% 
019  00094 |Loss: 1.601 | Acc: 38.281% 
019  00095 |Loss: 1.561 | Acc: 36.667% 
020  00096 |Loss: 1.573 | Acc: 28.125% 
020  00097 |Loss: 1.496 | Acc: 32.812% 
020  00098 |Loss: 1.518 | Acc: 31.250% 
020  00099 |Loss: 1.549 | Acc: 27.344% 
020  00100 |Loss: 1.526 | Acc: 30.000% 
021  00101 |Loss: 1.505 | Acc: 40.625% 
021  00102 |Loss: 1.468 | Acc: 45.312% 
021  00103 |Loss: 1.444 | Acc: 43.750% 
021  00104 |Loss: 1.488 | Acc: 38.281% 
021  00105 |Loss: 1.519 | Acc: 35.333% 
022  00106 |Loss: 1.484 | Acc: 37.500% 
022  00107 |Loss: 1.483 | Acc: 37.500% 
022  00108 |Loss: 1.484 | Acc: 38.542% 
022  00109 |Loss: 1.515 | Acc: 36.719% 
022  00110 |Loss: 1.525 | Acc: 37.333% 
023  00111 |Loss: 1.515 | Acc: 31.250% 
023  00112 |Loss: 1.474 | Acc: 34.375% 
023  00113 |Loss: 1.529 | Acc: 33.333% 
023  00114 |Loss: 1.525 | Acc: 33.594% 
023  00115 |Loss: 1.507 | Acc: 34.000% 
024  00116 |Loss: 1.504 | Acc: 37.500% 
024  00117 |Loss: 1.532 | Acc: 32.812% 
024  00118 |Loss: 1.569 | Acc: 28.125% 
024  00119 |Loss: 1.541 | Acc: 28.125% 
024  00120 |Loss: 1.523 | Acc: 28.000% 
025  00121 |Loss: 1.460 | Acc: 40.625% 
025  00122 |Loss: 1.473 | Acc: 40.625% 
025  00123 |Loss: 1.510 | Acc: 39.583% 
025  00124 |Loss: 1.533 | Acc: 36.719% 
025  00125 |Loss: 1.528 | Acc: 37.333% 
026  00126 |Loss: 1.406 | Acc: 25.000% 
026  00127 |Loss: 1.506 | Acc: 31.250% 
026  00128 |Loss: 1.533 | Acc: 28.125% 
026  00129 |Loss: 1.556 | Acc: 28.125% 
026  00130 |Loss: 1.522 | Acc: 28.000% 
027  00131 |Loss: 1.530 | Acc: 37.500% 
027  00132 |Loss: 1.496 | Acc: 34.375% 
027  00133 |Loss: 1.499 | Acc: 33.333% 
027  00134 |Loss: 1.483 | Acc: 33.594% 
027  00135 |Loss: 1.517 | Acc: 32.000% 
028  00136 |Loss: 1.498 | Acc: 34.375% 
028  00137 |Loss: 1.478 | Acc: 32.812% 
028  00138 |Loss: 1.471 | Acc: 34.375% 
028  00139 |Loss: 1.484 | Acc: 33.594% 
028  00140 |Loss: 1.510 | Acc: 34.000% 
029  00141 |Loss: 1.593 | Acc: 31.250% 
029  00142 |Loss: 1.568 | Acc: 29.688% 
029  00143 |Loss: 1.512 | Acc: 34.375% 
029  00144 |Loss: 1.542 | Acc: 29.688% 
029  00145 |Loss: 1.491 | Acc: 30.000% 
030  00146 |Loss: 1.346 | Acc: 40.625% 
030  00147 |Loss: 1.475 | Acc: 31.250% 
030  00148 |Loss: 1.427 | Acc: 34.375% 
030  00149 |Loss: 1.456 | Acc: 37.500% 
030  00150 |Loss: 1.521 | Acc: 35.333% 
031  00151 |Loss: 1.461 | Acc: 40.625% 
031  00152 |Loss: 1.415 | Acc: 39.062% 
031  00153 |Loss: 1.493 | Acc: 35.417% 
031  00154 |Loss: 1.499 | Acc: 33.594% 
031  00155 |Loss: 1.521 | Acc: 33.333% 
032  00156 |Loss: 1.449 | Acc: 43.750% 
032  00157 |Loss: 1.476 | Acc: 35.938% 
032  00158 |Loss: 1.463 | Acc: 34.375% 
032  00159 |Loss: 1.478 | Acc: 35.938% 
032  00160 |Loss: 1.499 | Acc: 34.000% 
033  00161 |Loss: 1.618 | Acc: 18.750% 
033  00162 |Loss: 1.520 | Acc: 35.938% 
